order_id,customer_id,customer_segment,order_date,region,category,product,quantity,price,discount,total_sales
31191,7472,corporate,2023-01-01,asia,fashion,jacket,5,108.79,0.3,380.76
48834,9877,consumer,2023-01-01,asia,fashion,jeans,5,103.25,0.05,490.44
39542,3587,home_office,2023-01-01,usa,electronics,tablet,3,1817.89,0.23,4199.33
41376,5163,corporate,2023-01-01,usa,accessories,bag,2,160.29,0.14,275.7
37735,6819,corporate,2023-01-01,middle east,accessories,bag,4,278.23,0.2,890.34
15527,7675,corporate,2023-01-01,europe,accessories,watch,2,149.43,0.27,218.17
24612,9860,home_office,2023-01-01,asia,electronics,phone,4,501.65,0.08,1846.07
40654,3608,corporate,2023-01-01,europe,electronics,phone,1,313.92,0.26,232.3
8461,8827,consumer,2023-01-01,middle east,electronics,laptop,1,1905.76,0.17,1581.78
8394,5268,corporate,2023-01-01,europe,electronics,tablet,2,1793.46,0.11,3192.36
607,2703,consumer,2023-01-01,asia,electronics,tablet,5,455.71,0.09,2073.48
17287,1482,home_office,2023-01-01,europe,accessories,watch,4,24.77,0.05,94.13
22195,3614,corporate,2023-01-01,europe,electronics,laptop,2,942.76,0.17,1564.98
42804,2541,home_office,2023-01-01,europe,fashion,shoes,3,162.78,0.08,449.27
21444,4773,consumer,2023-01-01,usa,fashion,shoes,4,130.52,0.18,428.11
7867,2510,corporate,2023-01-01,middle east,fashion,jacket,2,95.48,0.22,148.95
20933,5528,consumer,2023-01-01,middle east,fashion,jeans,1,151.63,0.25,113.72
20823,8392,consumer,2023-01-01,europe,fashion,shirt,4,123.7,0.2,395.84
17699,6897,home_office,2023-01-01,europe,fashion,shoes,4,143.24,0.15,487.02
49885,4457,home_office,2023-01-01,usa,electronics,phone,5,434.45,0.01,2150.53
20486,4416,corporate,2023-01-01,usa,fashion,shirt,5,84.76,0.21,334.8
7708,7716,home_office,2023-01-01,usa,fashion,shoes,5,189.77,0.1,853.97
17994,7165,corporate,2023-01-01,usa,electronics,headphones,3,1078.46,0.16,2717.72
18086,2345,home_office,2023-01-01,middle east,accessories,bag,2,127.83,0.07,237.76
19695,3116,consumer,2023-01-01,asia,accessories,bag,2,114.44,0.2,183.1
38270,4554,corporate,2023-01-01,middle east,electronics,headphones,5,1395.06,0.1,6277.77
38343,2328,corporate,2023-01-01,asia,electronics,headphones,3,1589.17,0.16,4004.71
8026,3884,home_office,2023-01-01,europe,electronics,phone,4,1032.95,0.09,3759.94
49920,9757,home_office,2023-01-01,usa,accessories,watch,3,144.39,0.23,333.54
8904,9764,corporate,2023-01-01,usa,fashion,jeans,1,132.82,0.02,130.16
2754,6817,consumer,2023-01-01,middle east,fashion,shoes,4,73.15,0.12,257.49
31775,4799,corporate,2023-01-01,usa,electronics,headphones,4,1172.43,0.02,4595.93
31807,8299,corporate,2023-01-01,usa,electronics,headphones,4,1884.93,0.02,7388.93
42078,2546,corporate,2023-01-01,middle east,electronics,tablet,3,1333.23,0.2,3199.75
10084,1701,home_office,2023-01-01,middle east,fashion,shoes,5,121.16,0.01,599.74
9753,1837,home_office,2023-01-01,asia,fashion,shoes,3,133.95,0.18,329.52
11886,3666,corporate,2023-01-01,usa,fashion,jeans,1,118.99,0.08,109.47
27900,8037,consumer,2023-01-01,asia,accessories,belt,3,271.95,0.17,677.16
12052,3336,consumer,2023-01-01,asia,fashion,jacket,5,71.3,0.29,253.11
3621,7161,consumer,2023-01-01,europe,fashion,shirt,4,125.61,0.19,406.98
40136,5641,home_office,2023-01-01,europe,accessories,bag,2,46.34,0.2,74.14
10283,1016,home_office,2023-01-01,asia,accessories,belt,4,28.25,0.14,97.18
45164,8917,home_office,2023-01-02,middle east,accessories,belt,4,121.34,0.13,422.26
17512,2064,home_office,2023-01-02,asia,electronics,headphones,3,1202.85,0.01,3572.46
29193,4339,consumer,2023-01-02,middle east,accessories,bag,2,56.24,0.14,96.73
35113,9433,corporate,2023-01-02,asia,electronics,phone,3,1238.15,0.21,2934.42
44189,3624,corporate,2023-01-02,asia,accessories,bag,3,31.43,0.21,74.49
35527,4474,corporate,2023-01-02,usa,accessories,belt,3,296.44,0.14,764.82
21592,7160,corporate,2023-01-02,asia,fashion,shirt,2,189.02,0.24,287.31
17655,5401,consumer,2023-01-02,europe,accessories,bag,3,188.01,0.09,513.27
12002,9056,corporate,2023-01-02,middle east,electronics,tablet,5,1840.24,0.05,8741.14
29490,5652,home_office,2023-01-02,usa,electronics,phone,3,1618.48,0.14,4175.68
7969,9479,corporate,2023-01-02,asia,electronics,phone,3,1218.68,0.21,2888.27
81,9761,consumer,2023-01-02,usa,fashion,jacket,1,83.7,0.11,74.49
38112,1068,consumer,2023-01-02,asia,fashion,shoes,4,194.89,0.07,724.99
6744,3117,consumer,2023-01-02,europe,fashion,shirt,2,88.89,0.2,142.22
29968,4771,corporate,2023-01-02,asia,fashion,jeans,3,130.53,0.13,340.68
11347,2761,home_office,2023-01-02,usa,accessories,bag,5,293.85,0.24,1116.63
30316,4038,home_office,2023-01-02,usa,electronics,headphones,3,1262.47,0.01,3749.54
30788,3964,consumer,2023-01-02,usa,accessories,bag,1,45.55,0.13,39.63
44627,8153,home_office,2023-01-02,middle east,fashion,shoes,5,169.05,0.0,845.25
6497,9275,corporate,2023-01-02,europe,fashion,jacket,4,37.62,0.14,129.41
34569,8202,consumer,2023-01-02,asia,fashion,jeans,4,109.97,0.14,378.3
44637,8723,home_office,2023-01-02,asia,accessories,watch,3,148.48,0.24,338.53
7355,4623,corporate,2023-01-02,usa,fashion,shirt,1,58.68,0.23,45.18
7124,8952,home_office,2023-01-02,europe,electronics,phone,4,1242.99,0.16,4176.45
29188,2298,consumer,2023-01-02,usa,accessories,belt,4,162.57,0.09,591.75
19186,8684,consumer,2023-01-02,asia,electronics,tablet,3,1288.55,0.08,3556.4
5680,1957,consumer,2023-01-02,middle east,fashion,jeans,4,60.81,0.24,184.86
36190,8943,home_office,2023-01-02,asia,accessories,watch,1,129.73,0.2,103.78
27988,3892,consumer,2023-01-02,usa,fashion,jeans,2,107.36,0.27,156.75
43232,2464,corporate,2023-01-02,europe,electronics,laptop,5,1635.27,0.14,7031.66
26686,9648,home_office,2023-01-02,usa,fashion,jacket,4,28.48,0.0,113.92
24910,5045,consumer,2023-01-02,europe,fashion,shoes,3,29.33,0.2,70.39
41487,9144,home_office,2023-01-02,middle east,fashion,shoes,5,100.82,0.27,367.99
42482,4712,home_office,2023-01-02,asia,fashion,shirt,1,57.76,0.15,49.1
43004,4949,corporate,2023-01-02,asia,accessories,bag,2,252.87,0.3,354.02
41517,4818,consumer,2023-01-02,middle east,accessories,bag,5,207.13,0.09,942.44
8934,5679,consumer,2023-01-02,asia,fashion,jacket,2,36.66,0.19,59.39
15293,9921,home_office,2023-01-02,europe,fashion,shoes,2,147.33,0.17,244.57
48852,9602,home_office,2023-01-02,middle east,electronics,laptop,2,1275.77,0.0,2551.54
16865,8321,home_office,2023-01-02,middle east,electronics,tablet,5,682.72,0.15,2901.56
2243,1841,corporate,2023-01-02,middle east,fashion,shoes,1,106.26,0.02,104.13
17026,6206,consumer,2023-01-02,middle east,accessories,bag,3,126.24,0.08,348.42
33137,4209,home_office,2023-01-02,europe,electronics,phone,3,1519.79,0.17,3784.28
17090,8634,corporate,2023-01-02,asia,electronics,laptop,4,1851.53,0.05,7035.81
47654,2767,corporate,2023-01-02,europe,fashion,jacket,2,130.54,0.24,198.42
4705,2456,consumer,2023-01-02,asia,fashion,jeans,1,65.08,0.02,63.78
37687,7248,corporate,2023-01-03,middle east,electronics,phone,4,464.78,0.2,1487.3
36832,4746,consumer,2023-01-03,asia,accessories,belt,4,20.22,0.08,74.41
7072,1685,corporate,2023-01-03,middle east,fashion,jacket,4,99.6,0.29,282.86
49492,1150,home_office,2023-01-03,asia,electronics,phone,3,416.73,0.21,987.65
15316,3257,consumer,2023-01-03,europe,accessories,belt,4,228.14,0.09,830.43
13262,9302,consumer,2023-01-03,europe,fashion,shirt,3,107.7,0.3,226.17
46859,9486,corporate,2023-01-03,usa,electronics,laptop,5,504.0,0.07,2343.6
12544,8591,consumer,2023-01-03,usa,electronics,phone,3,1753.56,0.07,4892.43
17144,1538,corporate,2023-01-03,middle east,accessories,belt,3,17.9,0.17,44.57
15841,4834,consumer,2023-01-03,europe,accessories,belt,1,106.94,0.16,89.83
17673,7779,corporate,2023-01-03,europe,accessories,watch,3,34.51,0.02,101.46
2370,3433,corporate,2023-01-03,europe,fashion,shoes,4,151.0,0.11,537.56
45695,4454,consumer,2023-01-03,middle east,accessories,belt,4,220.38,0.13,766.92
