order_id,customer_id,customer_segment,order_date,region,category,product,quantity,price,discount,total_sales
31191,7472,corporate,2023-01-01,asia,fashion,jacket,5,108.79,0.3,543.95
48834,9877,consumer,2023-01-01,asia,fashion,jeans,5,103.25,0.05,516.25
39542,3587,home_office,2023-01-01,usa,electronics,tablet,3,1817.89,0.23,5453.67
41376,5163,corporate,2023-01-01,usa,accessories,bag,2,160.29,0.14,320.58
37735,6819,corporate,2023-01-01,middle east,accessories,bag,4,278.23,0.2,1112.92
15527,7675,corporate,2023-01-01,europe,accessories,watch,2,149.43,0.27,298.86
24612,9860,home_office,2023-01-01,asia,electronics,phone,4,501.65,0.08,2006.6
40654,3608,corporate,2023-01-01,europe,electronics,phone,1,313.92,0.26,313.92
8461,8827,consumer,2023-01-01,middle east,electronics,laptop,1,1905.76,0.17,1905.76
8394,5268,corporate,2023-01-01,europe,electronics,tablet,2,1793.46,0.11,3586.92
607,2703,consumer,2023-01-01,asia,electronics,tablet,5,455.71,0.09,2278.5499999999997
17287,1482,home_office,2023-01-01,europe,accessories,watch,4,24.77,0.05,99.08
22195,3614,corporate,2023-01-01,europe,electronics,laptop,2,942.76,0.17,1885.52
42804,2541,home_office,2023-01-01,europe,fashion,shoes,3,162.78,0.08,488.34000000000003
21444,4773,consumer,2023-01-01,usa,fashion,shoes,4,130.52,0.18,522.08
7867,2510,corporate,2023-01-01,middle east,fashion,jacket,2,95.48,0.22,190.96
20933,5528,consumer,2023-01-01,middle east,fashion,jeans,1,151.63,0.25,151.63
20823,8392,consumer,2023-01-01,europe,fashion,shirt,4,123.7,0.2,494.8
17699,6897,home_office,2023-01-01,europe,fashion,shoes,4,143.24,0.15,572.96
49885,4457,home_office,2023-01-01,usa,electronics,phone,5,434.45,0.01,2172.25
20486,4416,corporate,2023-01-01,usa,fashion,shirt,5,84.76,0.21,423.8
7708,7716,home_office,2023-01-01,usa,fashion,shoes,5,189.77,0.1,948.85
17994,7165,corporate,2023-01-01,usa,electronics,headphones,3,1078.46,0.16,3235.38
18086,2345,home_office,2023-01-01,middle east,accessories,bag,2,127.83,0.07,255.66
19695,3116,consumer,2023-01-01,asia,accessories,bag,2,114.44,0.2,228.88
38270,4554,corporate,2023-01-01,middle east,electronics,headphones,5,1395.06,0.1,6975.299999999999
38343,2328,corporate,2023-01-01,asia,electronics,headphones,3,1589.17,0.16,4767.51
8026,3884,home_office,2023-01-01,europe,electronics,phone,4,1032.95,0.09,4131.8
49920,9757,home_office,2023-01-01,usa,accessories,watch,3,144.39,0.23,433.16999999999996
8904,9764,corporate,2023-01-01,usa,fashion,jeans,1,132.82,0.02,132.82
2754,6817,consumer,2023-01-01,middle east,fashion,shoes,4,73.15,0.12,292.6
31775,4799,corporate,2023-01-01,usa,electronics,headphones,4,1172.43,0.02,4689.72
31807,8299,corporate,2023-01-01,usa,electronics,headphones,4,1884.93,0.02,7539.72
42078,2546,corporate,2023-01-01,middle east,electronics,tablet,3,1333.23,0.2,3999.69
10084,1701,home_office,2023-01-01,middle east,fashion,shoes,5,121.16,0.01,605.8
9753,1837,home_office,2023-01-01,asia,fashion,shoes,3,133.95,0.18,401.84999999999997
11886,3666,corporate,2023-01-01,usa,fashion,jeans,1,118.99,0.08,118.99
27900,8037,consumer,2023-01-01,asia,accessories,belt,3,271.95,0.17,815.8499999999999
12052,3336,consumer,2023-01-01,asia,fashion,jacket,5,71.3,0.29,356.5
3621,7161,consumer,2023-01-01,europe,fashion,shirt,4,125.61,0.19,502.44
40136,5641,home_office,2023-01-01,europe,accessories,bag,2,46.34,0.2,92.68
10283,1016,home_office,2023-01-01,asia,accessories,belt,4,28.25,0.14,113.0
45164,8917,home_office,2023-01-02,middle east,accessories,belt,4,121.34,0.13,485.36
17512,2064,home_office,2023-01-02,asia,electronics,headphones,3,1202.85,0.01,3608.5499999999997
29193,4339,consumer,2023-01-02,middle east,accessories,bag,2,56.24,0.14,112.48
35113,9433,corporate,2023-01-02,asia,electronics,phone,3,1238.15,0.21,3714.4500000000003
44189,3624,corporate,2023-01-02,asia,accessories,bag,3,31.43,0.21,94.28999999999999
35527,4474,corporate,2023-01-02,usa,accessories,belt,3,296.44,0.14,889.3199999999999
21592,7160,corporate,2023-01-02,asia,fashion,shirt,2,189.02,0.24,378.04
17655,5401,consumer,2023-01-02,europe,accessories,bag,3,188.01,0.09,564.03
12002,9056,corporate,2023-01-02,middle east,electronics,tablet,5,1840.24,0.05,9201.2
